train epoch[1/35] loss:2.162, acc:0.154
valid epoch[1/35] loss:2.092, acc:0.266
train epoch[2/35] loss:1.822, acc:0.340
valid epoch[2/35] loss:1.672, acc:0.367
train epoch[3/35] loss:1.449, acc:0.489
valid epoch[3/35] loss:1.184, acc:0.667
train epoch[4/35] loss:1.250, acc:0.564
valid epoch[4/35] loss:1.305, acc:0.583
train epoch[5/35] loss:1.073, acc:0.632
valid epoch[5/35] loss:1.079, acc:0.700
train epoch[6/35] loss:0.947, acc:0.682
valid epoch[6/35] loss:1.012, acc:0.672
train epoch[7/35] loss:0.913, acc:0.688
valid epoch[7/35] loss:1.663, acc:0.367
train epoch[8/35] loss:1.167, acc:0.596
valid epoch[8/35] loss:1.034, acc:0.667
train epoch[9/35] loss:0.836, acc:0.712
valid epoch[9/35] loss:1.074, acc:0.600
train epoch[10/35] loss:0.766, acc:0.748
valid epoch[10/35] loss:0.973, acc:0.733
train epoch[11/35] loss:0.768, acc:0.745
valid epoch[11/35] loss:0.726, acc:0.797
train epoch[12/35] loss:0.672, acc:0.782
valid epoch[12/35] loss:0.921, acc:0.667
train epoch[13/35] loss:0.571, acc:0.824
valid epoch[13/35] loss:0.698, acc:0.733
train epoch[14/35] loss:0.564, acc:0.810
valid epoch[14/35] loss:0.925, acc:0.717
train epoch[15/35] loss:0.561, acc:0.817
valid epoch[15/35] loss:0.706, acc:0.817
train epoch[16/35] loss:0.511, acc:0.831
valid epoch[16/35] loss:0.781, acc:0.812
train epoch[17/35] loss:0.554, acc:0.814
valid epoch[17/35] loss:0.913, acc:0.650
train epoch[18/35] loss:0.442, acc:0.857
valid epoch[18/35] loss:0.813, acc:0.767
train epoch[19/35] loss:0.470, acc:0.852
valid epoch[19/35] loss:0.933, acc:0.733
train epoch[20/35] loss:0.396, acc:0.882
valid epoch[20/35] loss:0.751, acc:0.800
train epoch[21/35] loss:0.436, acc:0.852
valid epoch[21/35] loss:0.684, acc:0.797
train epoch[22/35] loss:0.382, acc:0.883
valid epoch[22/35] loss:0.862, acc:0.767
train epoch[23/35] loss:0.448, acc:0.857
valid epoch[23/35] loss:0.754, acc:0.783
train epoch[24/35] loss:0.710, acc:0.755
valid epoch[24/35] loss:0.939, acc:0.683
train epoch[25/35] loss:0.403, acc:0.871
valid epoch[25/35] loss:0.697, acc:0.783
train epoch[26/35] loss:0.371, acc:0.887
valid epoch[26/35] loss:0.556, acc:0.828
train epoch[27/35] loss:0.410, acc:0.871
valid epoch[27/35] loss:0.753, acc:0.783
train epoch[28/35] loss:0.321, acc:0.906
valid epoch[28/35] loss:0.622, acc:0.833
train epoch[29/35] loss:0.286, acc:0.904
valid epoch[29/35] loss:0.776, acc:0.783
train epoch[30/35] loss:0.318, acc:0.900
valid epoch[30/35] loss:0.661, acc:0.850
train epoch[31/35] loss:0.289, acc:0.909
valid epoch[31/35] loss:0.609, acc:0.766
train epoch[32/35] loss:0.251, acc:0.932
valid epoch[32/35] loss:0.802, acc:0.783
train epoch[33/35] loss:0.289, acc:0.921
valid epoch[33/35] loss:0.654, acc:0.817
train epoch[34/35] loss:0.217, acc:0.940
valid epoch[34/35] loss:0.795, acc:0.783
train epoch[35/35] loss:0.230, acc:0.938
valid epoch[35/35] loss:0.558, acc:0.833
